classe,Espindola_2.4G,BEATRIZ,NET 2G,#NET-CLARO-WIFI,Oi_93B7,TOPNET 99255-7919 GT SURF,ARTHUR,2G.MIMO.BEBY,GVT-53AA,CONVENIENCIA_TORTUGA,WIFI GLOBAL 227,Redmi Note 9S,Galaxy A20s6468,2313_Oi_Fibra,Araujo,A304_Oi_Fibra 2.4G,ViperNet_Salão ,Figueiredo 2.4,Salvato,CGU-V3208,70mai_Pro Plus+_8eb4,moto g(6) plus 3609,WIFI GLOBAL,NICOLAS,@Casadatapioca,Parangaricutirimirruaro,net-325,VIVO-FCA1,FARMA POPULAR,,732A_Fibra 2 G
varanda,49,52,46,22,40,41,0,31,0,34,21,0,0,32,0,31,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0
varanda,46,44,50,29,39,40,21,26,31,29,27,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,26,0,21,0,0
varanda,47,51,48,29,36,38,22,27,31,29,29,0,0,33,0,32,27,20,23,0,0,0,0,0,0,0,26,0,21,0,0
varanda,54,51,52,47,41,49,24,34,0,28,22,0,0,30,0,33,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,69,48,39,38,29,26,28,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,67,46,34,35,28,30,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,70,44,37,37,35,29,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,67,46,38,38,35,29,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cozinha,64,48,35,34,33,28,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
cozinha,57,43,38,37,30,31,25,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
cozinha,67,41,33,33,27,27,22,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
varanda2,40,29,41,30,23,24,25,0,0,0,20,0,0,0,29,0,0,0,0,0,0,0,29,0,0,0,0,0,0,53,0
varanda2,42,25,38,34,24,24,27,0,0,0,21,0,0,0,34,0,0,0,0,0,0,0,26,0,0,0,0,0,0,47,0
varanda2,50,28,42,34,27,23,27,0,0,0,23,0,0,0,34,0,0,0,0,0,0,0,32,0,0,0,0,0,0,53,0
varanda2,44,30,40,30,27,23,28,0,0,0,21,0,0,0,31,0,0,0,0,0,0,0,29,0,0,0,0,0,0,50,0
varanda2,48,27,40,25,26,0,24,0,0,0,21,0,0,0,26,0,0,0,0,0,0,0,30,0,0,0,0,0,0,50,19
varanda2,47,32,37,25,29,27,31,0,0,0,22,0,0,0,32,0,0,0,0,0,0,0,30,0,0,0,0,0,0,47,19
varanda2,47,29,30,25,27,26,23,0,0,0,26,0,0,0,31,0,0,0,0,0,0,0,34,0,0,0,0,0,0,49,0
varanda2,51,25,52,33,30,26,24,0,0,0,26,0,0,0,34,0,0,0,0,0,0,0,28,0,0,0,0,0,0,49,0
varanda2,50,30,34,27,24,26,23,0,0,0,24,0,0,0,27,0,0,0,0,0,0,0,26,0,0,0,0,0,0,47,0
